Number,RA_J2000,DEC_J2000,Pdot_flow,PA
1,83.87383333,-4.980222222,1.46E-05,65
2,83.88175,-5.003888889,5.03E-05,130
3,83.82633333,-5.009166667,3.27E-05,90
4,83.84345833,-5.020583333,1.10E-04,90
5,83.84779167,-5.024638889,6.34E-05,85
6,83.86070833,-5.065305556,6.03E-05,85
7,83.85758333,-5.095444444,4.95E-04,90
8,83.86108333,-5.102861111,7.30E-05,170
9,83.84720833,-5.119388889,4.93E-05,20
10,83.85670833,-5.132583333,5.58E-05,40
11,83.843375,-5.134666667,3.87E-05,45
12,83.85125,-5.141833333,1.82E-04,30
13,83.865125,-5.159305556,5.73E-04,40
14,83.85304167,-5.175055556,6.49E-05,5
15,83.861875,-5.185361111,1.26E-05,175
16,83.84720833,-5.200861111,8.05E-05,75
17,83.83391667,-5.220972222,3.72E-05,155
18,83.836375,-5.223222222,6.94E-05,75
19,83.831125,-5.259083333,7.80E-05,90
20,83.82616667,-5.528361111,1.51E-05,15
21,83.67045833,-5.529,1.78E-05,145
22,83.68358333,-5.690527778,8.40E-06,40
23,83.69558333,-5.747472222,6.50E-06,30
24,83.772875,-5.865111111,6.19E-05,30
25,83.78583333,-5.93175,4.73E-05,160
26,83.805875,-5.966138889,1.56E-04,0
27,83.7875,-5.974333333,9.02E-05,25
28,83.96666667,-6.167166667,4.60E-06,60
29,84.07191667,-6.186388889,5.60E-06,165
30,83.92575,-6.1955,1.51E-05,135
31,84.07845833,-6.3695,2.80E-04,25
32,84.08125,-6.370083333,1.57E-04,0
33,84.04770833,-6.372805556,2.50E-06,175
34,84.10254167,-6.378138889,1.50E-05,80
35,84.091,-6.391611111,2.56E-05,10
36,84.10775,-6.416305556,2.60E-06,40
37,83.95841667,-6.5815,1.96E-05,175
38,84.251875,-6.619583333,1.90E-06,95
39,84.15041667,-6.647777778,1.22E-04,0
40,84.10470833,-6.744944444,8.85E-05,80
41,84.078875,-6.756305556,1.95E-05,0
42,84.09516667,-6.768388889,9.00E-06,135
43,84.09808333,-6.770694444,2.50E-06,75
44,84.12904167,-6.878027778,2.71E-04,150
